"ID","linenum","fstation","lstation","linelong","co","kongtiao","yuepiao","piaozhi","pay","ftime","ltime","station"
55,"104快(北京站-和平里火车站)","北京站","和平里火车站","10.13","客七","否","有效","单一票制","1.00","5:00","24:00","1 北京站 
 
2 崇文门 
 
3 东长安街 
 
4 新东安市场 
 
5 灯市西口 
 
6 美术馆 
 
7 宽街 
 
8 交道口 
 
9 安定门 
 
10 地坛 
 
11 蒋宅口 
 
12 兴化路 
 
13 和平商业大厦 
 
14 和平里 
 
15 和平里火车站 
"
56,"104快(和平里火车站-北京站)","和平里火车站","北京站","14.99","客七","否","有效","单一票制","1.00","5:00","24:00","1 和平里火车站 
 
2 柳芳北街 
 
3 展览中心 
 
4 静安庄 
 
5 静安里 
 
6 柳芳东口 
 
7 柳芳西口 
 
8 柳芳北街 
 
9 和平里火车站 
 
10 和平里 
 
11 和平商业大厦 
 
12 兴化路 
 
13 蒋宅口 
 
14 地坛 
 
15 安定门 
 
16 交道口 
 
17 宽街 
 
18 美术馆 
 
19 灯市西口 
 
20 新东安市场 
 
21 东长安街 
 
22 崇文门 
 
23 北京站 
"
57,"105(白石桥-天桥)","白石桥","天桥","12.68","电车","否","有效","单一票制","1.00","4:45","23:00","1 白石桥 
 
2 动物园 
 
3 展览馆 
 
4 西外大街 
 
5 西直门 
 
6 新开胡同 
 
7 新街口 
 
8 平安里 
 
9 报子胡同 
 
10 西四 
 
11 缸瓦市 
 
12 甘石桥 
 
13 商场 
 
14 西单 
 
15 宣武门 
 
16 校场口 
 
17 菜市口 
 
18 果子巷 
 
19 虎坊桥 
 
20 珠市口 
 
21 天桥 
"
58,"105(天桥-白石桥)","天桥","白石桥","12.68","电车","否","有效","单一票制","1.00","4:45","23:00","1 天桥 
 
2 珠市口 
 
3 虎坊桥 
 
4 果子巷 
 
5 菜市口 
 
6 校场口 
 
7 宣武门 
 
8 西单 
 
9 商场 
 
10 甘石桥 
 
11 缸瓦市 
 
12 西四 
 
13 报子胡同 
 
14 平安里 
 
15 新街口 
 
16 新开胡同 
 
17 西直门 
 
18 西外大街 
 
19 展览馆 
 
20 动物园 
 
21 白石桥 
"
59,"106(北京南站-东直门外)","北京南站","东直门外","13.36","电车","否","有效","单一票制","1.00","4:50","23:00","1 北京南站 
 
2 游泳池(太平街) 
 
3 永定门 
 
4 先农坛 
 
5 天坛 
 
6 天桥 
 
7 金鱼池 
 
8 天坛北门 
 
9 红桥 
 
10 磁器口 
 
11 崇文门 
 
12 东单 
 
13 米市大街 
 
14 灯市东口 
 
15 东四 
 
16 钱粮胡同 
 
17 魏家胡同 
 
18 十二条 
 
19 北新桥 
 
20 东内小街 
 
21 东直门内 
 
22 东直门外 
"
60,"106(东直门外-北京南站)","东直门外","北京南站","12.86","电车","否","有效","单一票制","1.00","4:50","23:00","1 东直门外 
 
2 东直门内 
 
3 东内小街 
 
4 北新桥 
 
5 十二条 
 
6 魏家胡同 
 
7 钱粮胡同 
 
8 东四 
 
9 灯市东口 
 
10 米市大街 
 
11 东单 
 
12 崇文门 
 
13 磁器口 
 
14 红桥 
 
15 天坛北门 
 
16 金鱼池 
 
17 天桥 
 
18 北纬路 
 
19 虎坊路 
 
20 太平街 
 
21 游泳池(太平街) 
 
22 北京南站 
"
61,"107(白石桥-东直门外)","白石桥","东直门外","11.44","电车","否","有效","单一票制","1.00","5:00","23:00","1 白石桥 
 
2 动物园 
 
3 展览馆 
 
4 二里沟东口 
 
5 三塔寺 
 
6 车公庄 
 
7 官园 
 
8 平安医院 
 
9 平安里 
 
10 厂桥 
 
11 东官房 
 
12 北海 
 
13 地安门 
 
14 鼓楼 
 
15 宝钞胡同 
 
16 小经厂 
 
17 交道口 
 
18 北新桥 
 
19 小街 
 
20 东直门内 
 
21 东直门外 
"
62,"107(东直门外-白石桥)","东直门外","白石桥","11.15","电车","否","有效","单一票制","1.00","5:00","23:00","1 东直门外 
 
2 东直门内 
 
3 东内小街 
 
4 北新桥 
 
5 交道口 
 
6 小经厂 
 
7 宝钞胡同 
 
8 鼓楼 
 
9 地安门 
 
10 北海北门 
 
11 东官房 
 
12 厂桥 
 
13 平安里 
 
14 平安医院 
 
15 官园 
 
16 车公庄 
 
17 三塔寺 
 
18 二里沟东口 
 
19 展览馆 
 
20 动物园 
 
21 白石桥 
"
63,"108(崇文门-大屯)","崇文门","大屯","13.15","电车","否","有效","单一票制","1.00","5:00","23:00","1 崇文门 
 
2 东单 
 
3 米市大街 
 
4 灯市东口 
 
5 灯市西口 
 
6 美术馆 
 
7 大佛寺 
 
8 宽街 
 
9 北兵马司 
 
10 交道口 
 
11 方家胡同 
 
12 安定门 
 
13 地坛 
 
14 蒋宅口 
 
15 甘水桥 
 
16 安贞里 
 
17 五路居 
 
18 奥体东门 
 
19 安慧北里 
 
20 炎黄艺术馆 
 
21 大屯 
"
64,"108(大屯-崇文门)","大屯","崇文门","12.70","电车","否","有效","单一票制","1.00","5:00","23:00","1 大屯 
 
2 炎黄艺术馆 
 
3 安慧北里 
 
4 奥体中心东门 
 
5 五路居 
 
6 安贞里 
 
7 甘水桥 
 
8 蒋宅口 
 
9 地坛 
 
10 安定门 
 
11 方家胡同 
 
12 交道口 
 
13 北兵马司 
 
14 宽街 
 
15 大佛寺 
 
16 美术馆 
 
17 灯市西口 
 
18 灯市东口 
 
19 米市大街 
 
20 东单 
 
21 崇文门 
"
